id	title	description	status	created_at	updated_at	root_id	development_proposal_and_clarification	ball_park_estimate	impact_on_market	priority	argumentation_for_proposal	proposal_impact	next_steps	categories	planned_release_version
10	"Tiketti CSUSE0006144
CHGUSE0000031236
CHGUSE0000031375

"	"Validations needed for customer addresses and postal invoicing addresses

At the moment we don't have validations for customer addresses or customer postal invoicing addresses that there should be only either street address or PO Box.
So we would need new validations to check that if a street address is given then the PO Box is not allowed and vice versa.
We also need to add a validation that if a building number is given then street name is required. I don't know whether this one issue we had was related to this that the PO box was given then it was possible to add the building number as well.

MP: Customer data update  (just PO Box or Street Address)
Currently rule force that one of those items need to be updated, but it's not prohibited to update the both of them

Origin: Market Party wish list -selected in January 2022"	4				"Validations needed for customer addresses and postal invoicing addresses

At the moment we don't have validations for customer addresses or customer postal invoicing addresses that there should be only either street address or PO Box.
So we would need new validations to check that if a street address is given then the PO Box is not allowed and vice versa.
We also need to add a validation that if a building number is given then street name is required. I don't know whether this one issue we had was related to this that the PO box was given then it was possible to add the building number as well.

MP: Customer data update  (just PO Box or Street Address)
Currently rule force that one of those items need to be updated, but it's not prohibited to update the both of them

Origin: Market Party wish list -selected in January 2022"	1	1	1	Käytettävyysparannus ja tiedon tiedon laadun ylläpito.	Ilman sääntöä voi osapuoli ilmoittaa molemmat, postinumero on kuitenkin vain kerran ja postilokeron postinumero poikkeaa katuosoitteen postinumerosta. Tiedon laatu heikkenee ellei muuteta.	"6.9.2023: Määrittelydokumentaation päivitys ja tarjouspyyntö järjestelmätoimittajalta.
11.5.2023: Ehdotus sai selvän suosituksen ja viedään eteenpäin."	Asiakastietoprosessi	2.4
11	"CSUSE0007038
CHGUSE0000032159
"	"Customer had a fixed term contract valid until 13.9.2022, but a move-out was reported to Datahub for 30.9.2021 (= contract end). After the move-out was reported, the customer notified the supplier of a new invoicing address which the supplier tried to update to Datahub using DH-321. Datahub rejected the DH-321 due to validation rule ""Attribute 'Fixed Term End Date' must be same as or earlier than '2021-09-30T21:00:00Z' (i.e. Datahub does not accept an agreement update where the fixed end date is later than the agreement end date).

In this case, DH-321 did not contain an update to the fixed term dates (dates were the same as already in Datahub) but the dates are always included in the update request (if the agreement is fixed term).

In this case, the supplier would not want to change the fixed term end date in order to keep the original end date in case the move-out (agreement end) gets cancelled."	5				"Customer had a fixed term contract valid until 13.9.2022, but a move-out was reported to Datahub for 30.9.2021 (= contract end). After the move-out was reported, the customer notified the supplier of a new invoicing address which the supplier tried to update to Datahub using DH-321. Datahub rejected the DH-321 due to validation rule ""Attribute 'Fixed Term End Date' must be same as or earlier than '2021-09-30T21:00:00Z' (i.e. Datahub does not accept an agreement update where the fixed end date is later than the agreement end date).

In this case, DH-321 did not contain an update to the fixed term dates (dates were the same as already in Datahub) but the dates are always included in the update request (if the agreement is fixed term).

In this case, the supplier would not want to change the fixed term end date in order to keep the original end date in case the move-out (agreement end) gets cancelled."	1	0	1	Sopimuksen päivitys ei mene läpi ellei osapuoli päivitä samalla myös määräaikaisuuden päättymispäivää sopimuksen päättymispäiväksi. 	"Sekä nykyisessä että DH2.0 speksissä on validointisääntö:
• VR.AGR.052.225: The new fixed term end date must be same as or earlier than the Agreement end date.

Se sopimuksen päivitys kaatuu tähän. Elikkä hubi toimii speksin mukaisesti. Tarvitaan siis speksin muutos"	Määrittelydokumentaation päivitys ja tarjouspyyntö järjestelmätoimittajalta.	Sopimusprosessi	2.0
12	Tiketti CSUSE0007017	"It cannot be directly concluded from the message e.g. in the switch off notification DH-422 if the switch off is done by supplier based on the switch off request or from DSO's own reasons. 

Original message id field has always the previous messages's id in the chain (e.g. DH-422-2 has DH-422-1 id), thus there cannot be made any conclusion. If it would be used instead the DH-421-1 message id sent by supplier, supplier would see that there is response to their request (but this might disturb the composite process handling). Same situation concern also all events that party can send either by own request or as response to the other party's request (DH-111, DH-122, DH-412, DH-422).
"	3				"It cannot be directly concluded from the message e.g. in the switch off notification DH-422 if the switch off is done by supplier based on the switch off request or from DSO's own reasons. 

Original message id field has always the previous messages's id in the chain (e.g. DH-422-2 has DH-422-1 id), thus there cannot be made any conclusion. If it would be used instead the DH-421-1 message id sent by supplier, supplier would see that there is response to their request (but this might disturb the composite process handling). Same situation concern also all events that party can send either by own request or as response to the other party's request (DH-111, DH-122, DH-412, DH-422).
"	1	1	2	Myyjän järjestelmässä ei pystytä päättelemään onko katkaisu verkon oma katkaisu vai vastaus tehtyyn katkaisupyyntöön. Tämä tieto tarvitaan, jotta pystytään arvioimaan saadaanko myöhemmin käyttöpaikka kytkettyä kun omat saatavat on peritty asiakkaalta.		Asia aiheuttaa edelleen ongelmia myyjille ja ehdotus on tarpeellinen. Ehdotuksesta voidaan kuitenkin jättää pois muut tapahtumat ja asiaa edistetään vain DH-412- ja DH-422-tapahtumien osalta.	Kytkentä/katkaisuprosessi	
13	Tiketti CSUSE0007675	Invoice row data validation by agreements, to get to the counter party information about invoicing through other party.	3				Invoice row data validation by agreements, to get to the counter party information about invoicing through other party.	2	0	3	Laskurivitiedot hyväksytään vaikka sopimuksilla on eri tieto. Tällä hetkellä kuvaus on että osapuoli vastaa ilmoitetusta tiedosta että menee oikealle vastsaanottajalle. 	Pohdittava miten vaikuttaa suorituskykyyn jos kaikki laskurivit validoidaan sopimuksittain. 	Osa kehitystyöryhmästä piti validointia tarpeettomana erityisesti, jos jossain vaiheessa kaikki käyttöpaikat ovat läpilaskutuksessa, mutta osa näki ehdotuksen mukaisen tarkastuksen tarpeellisena. Lisäksi ryhmässä nousi ehdotus myös tarkastukselle siitä, että laskurivitiedot lähetetään oikealle osapuolelle. Päätettiin, että pidetään asia listoilla molempien tarkastusten osalta, mutta ei edistetä asiaa korkealla prioriteetilla.	Laskutustiedot	
14	CHGUSE0000032271	"DSO to receive info of SAG (sales agreement) end or cancellation:
In case DDQ ends or cancels a SAG before DSO has confirmed their GAG (grid agreement), DSO doesn't receive information about the SAG end or cancellation. It would be good to notify the DSO also when GAG is not yet confirmed.

Origin: Market Party wish list -selected in January 2022"	5				"DSO to receive info of SAG (sales agreement) end or cancellation:
In case DDQ ends or cancels a SAG before DSO has confirmed their GAG (grid agreement), DSO doesn't receive information about the SAG end or cancellation. It would be good to notify the DSO also when GAG is not yet confirmed.

Origin: Market Party wish list -selected in January 2022"	1	1	1	Verkko saisi tiedon jos myyjä heti peruu tai päättää sopimuksen.		Määrittelydokumentaation päivitys ja tarjouspyyntö järjestelmätoimittajalta.	Sopimusprosessi	2.1
15	"CHGUSE0000031377
"	"Customer data characters to be verified:
With Customer data update there should be verified that there aren't useless characters with customer's name to be updated to Datahub. 
Eg. ""JÃ¤msÃ¤nkosken MetsÃ¤stysyhdistys ry. "" characters shouldn't be allowed

Origin: Market Party wish list -selected in January 2022"	3				"Customer data characters to be verified:
With Customer data update there should be verified that there aren't useless characters with customer's name to be updated to Datahub. 
Eg. ""JÃ¤msÃ¤nkosken MetsÃ¤stysyhdistys ry. "" characters shouldn't be allowed

Origin: Market Party wish list -selected in January 2022"	1	1	2	Asiakastiedon laatu saadaan pidettyä parempana.	Asiakastiedon laatu saadaan pidettyä parempana.	Kehitystyöryhmässä todettiin, että on vaikea löytää merkistöä, joka sallisi tarvittavasti merkkejä ja estäisi vain todella turhat. Sovittiin, että selvitetään vielä väärien tietojen määriä ja sitä, onko kyse mahdollisesti ollut käyttöönoton ongelmasta vai tuleeko näitä edelleen ja kuinka monelta osapuolelta. 	Asiakastietoprosessi	
16	Tiketti CSUSE0008779	When supplier updates contract information e.g. invoice address, shall the DH-321-1 message have also fixed term start and end dates. The supplier had development proposal that it would not be necessary to inform those dates because the dates in the message do not necessarily match with existing contract and those have no impact on anything. E.g. case where fixed term contract has started already from year 2014 and fixed term contract start date in the DH-321-1 message can have in maximum 3,5 years retrospective date.	6				When supplier updates contract information e.g. invoice address, shall the DH-321-1 message have also fixed term start and end dates. The supplier had development proposal that it would not be necessary to inform those dates because the dates in the message do not necessarily match with existing contract and those have no impact on anything. E.g. case where fixed term contract has started already from year 2014 and fixed term contract start date in the DH-321-1 message can have in maximum 3,5 years retrospective date.	2	1	2			Ei edistetä	Sopimusprosessi	
17	Tiketti CSUSE0008783	DH-342 event description has following rule: Grid contract termination information will be forwarded to the supplier that has valid sales contract on the accounting point at the time the termination is valid. It would be good system would validate if sales contract correspond to grid contract has been terminated, and it would inform the for the supplier that came valid again. Expecially if there is different customer's contract in that case.	6				DH-342 event description has following rule: Grid contract termination information will be forwarded to the supplier that has valid sales contract on the accounting point at the time the termination is valid. It would be good system would validate if sales contract correspond to grid contract has been terminated, and it would inform the for the supplier that came valid again. Expecially if there is different customer's contract in that case.	2	0	2	Mikäli verkkoyhtiö lähettää oman peruuttamisilmoituksensa DH-342 oikein vastauksena DH-341 komposiittiprosessiin, niin silloin ei lähde sanomaa myyjälle. Tämän perusteella ei ole tarvetta muuttaa toiminnallisuutta. Ohjeistusta on jo ohjeistettu tietämyskannassa (XXX).		Ei edistetä	Sopimusprosessi	
18	"Tiketti CSUSE0008919
CHGUSE0000031378
"	"Email  invoice to be updateable only if the correct Invoice channel chosen:
Market party  has received updates to agreements with invoicing email address, allthough agreement invoice channel is not  email address."	6				"Email  invoice to be updateable only if the correct Invoice channel chosen:
Market party  has received updates to agreements with invoicing email address, allthough agreement invoice channel is not  email address."	1	1	1	Tietojen laadun ylläpito.	Tietojen laadun ylläpito.	Ei edistetä	Sopimusprosessi	
19	"Tiketti CSUSE0009058
"	We have a lot of cases where metering point cannot be found because DSO or supplier has incorrect postal code in the address. We propose possibility to make search without postal code by giving asterix (*) into search.	3				We have a lot of cases where metering point cannot be found because DSO or supplier has incorrect postal code in the address. We propose possibility to make search without postal code by giving asterix (*) into search.	1	0	3				Asiakastietoprosessi	
20	Tiketti CSUSE0008395	"The user interface sorts the numeric fields as strings. For that reason for example the sorting done in order ""1, 121, 13, 2,..."""	5				"The user interface sorts the numeric fields as strings. For that reason for example the sorting done in order ""1, 121, 13, 2,..."""			2	Parantaa käyttöliittymän toiminnallisuutta				1.9.0
21	"CSUSE0003905
CHGUSE0000032275
"	"Data interface is using person id or company id for requests. Those URL requests are logged into log file and that shall not happen.

Example:
https://dh-fingrid-sat01-b2b.azurewebsites.net/rest/FGR/DIFGetCustomerData?organisationUser=B2BCGdso1AAdmin&TenantCode=FGR&customerIdentification=DDMMYY-1234

See https://stackoverflow.com/questions/39568719/rest-api-get-with-sensitive-data

This is a data privacy issues."	4				"Data interface is using person id or company id for requests. Those URL requests are logged into log file and that shall not happen.

Example:
https://dh-fingrid-sat01-b2b.azurewebsites.net/rest/FGR/DIFGetCustomerData?organisationUser=B2BCGdso1AAdmin&TenantCode=FGR&customerIdentification=DDMMYY-1234

See https://stackoverflow.com/questions/39568719/rest-api-get-with-sensitive-data

This is a data privacy issues."	?	1	1	Parantaa tietoturvaa.	Järjestelmätoimittajat joutuvat toteuttamaan tuen uudelle rajapintakutsumetodille. Voidaan tarvittaessa rakentaa väliaikainen tuki molemmille metodeille ja esim. 6 kk jälkeen vanha metodi otetaan pois käytöstä.	Määrittelydokumentaation päivitys ja tarjouspyyntö järjestelmätoimittajalta.	Tietoturva	2.3
22	"Tiketti CSUSE0007163
"	Accounting point has been without supplier and switched off. Supplier notifies new sales contract into datahub. The supplier has found out the status of the accounting point (switched off). Later DSO informs retrospective switch on, the switch on date is previous day of the contract start date -> supplier does not get information about switch on, because the information is disclosed only to the current supplier of the accounting point. 	3				Accounting point has been without supplier and switched off. Supplier notifies new sales contract into datahub. The supplier has found out the status of the accounting point (switched off). Later DSO informs retrospective switch on, the switch on date is previous day of the contract start date -> supplier does not get information about switch on, because the information is disclosed only to the current supplier of the accounting point. 	1+2	1	2	Helpottaisi myyjää kyllä jos saisi tiedon. Voiko muuttaa käsittelyä niin, että jos tuo käyttöpaikan päivitys ilmoitetaan sopimuksen voimaantulon jälkeen (vaikka itse muutospäivä olisi aikaisemmalle päivälle) niin myyjä saisi tiedot. 		Asia viedään alityöryhmän käsittelyyn. GDPR asia tuskin on muutettavissa, mutta tätä tarkastetaan myös, mikäli oikeuspuolen kevennyksellä asia olisi ratkottavissa yksinkertaisemmin.	Sopimusprosessi	
23	"Tiketti CSUSE0011351
"	Now the datahub works so that end customer update accepted automatically in the system (supplier master). In the current model end customer address can go mess because of language in case there is grid customer has service language in Swedish and supplier delivers address in Finnish. This cannot be controlled or fixed. According to the system vendor, in case there were language information in the address information, vendor system could compare and thus find above mentioned cases and thus fix can be made. Language code can be a part of end customer address and also a part of messages/events where address information is included (postal address, invoice address).	6				Now the datahub works so that end customer update accepted automatically in the system (supplier master). In the current model end customer address can go mess because of language in case there is grid customer has service language in Swedish and supplier delivers address in Finnish. This cannot be controlled or fixed. According to the system vendor, in case there were language information in the address information, vendor system could compare and thus find above mentioned cases and thus fix can be made. Language code can be a part of end customer address and also a part of messages/events where address information is included (postal address, invoice address).	2	1	2	Kielikoodi on ongelmallinen asiakkaan tiedoissa jos joku tarjoaa palvelua useammalla kielellä ja toinen ei. 		Kehitystyöryhmässä todettiin, että asia on ratkaistavissa muutoin, eikä kielikoodin lisäykselle osoitetietoihin ole tarvetta.	Asiakastietoprosessi	
24	"Tiketti CSUSE0016632
"	Phone number format shall get a validation rule. Datahub has defined phone number is format ITU-T.164 (+358501234567) but datahub does not validate this.	4				Phone number format shall get a validation rule. Datahub has defined phone number is format ITU-T.164 (+358501234567) but datahub does not validate this.	1	1	2	Tiedon laadun ylläpito paranee	Uusi validointisääntö	Kehitysehdotusta kannatetaan ja se viedään eteenpäin huomioiden prosessit DH-321/322, joissa ei tarkasteta kolmatta kohtaa (Maatunnusta '+358' seuraava numero ei saa olla nolla).	Asiakastietoprosessi	2.4
25	Tiketti CSUSE0019860	"As a DSO we see the cancellation code AR04  very complex. AR04 code can be used even supplier has made contract as delivery contract. That cannot happen in real that end customer cancels only selling if there is delivery contract. Datahub should conclude that delivery contract cannot be cancelled with AR04 code or if it can be cancelled, then grid contract shall be cancelled as well. It is not possible that end customer can get from other supplier delivery contract if delivery responsible supplier has already cancelled the contract.

Could this cancellation reason and its rules be re-evaluated in development workgroup. This requires new definitions to the datahub rules."	4				"As a DSO we see the cancellation code AR04  very complex. AR04 code can be used even supplier has made contract as delivery contract. That cannot happen in real that end customer cancels only selling if there is delivery contract. Datahub should conclude that delivery contract cannot be cancelled with AR04 code or if it can be cancelled, then grid contract shall be cancelled as well. It is not possible that end customer can get from other supplier delivery contract if delivery responsible supplier has already cancelled the contract.

Could this cancellation reason and its rules be re-evaluated in development workgroup. This requires new definitions to the datahub rules."	1+2	1	2	Aiheuttaa paljon manuaalikäsittelyä verkon suunnalla ja jos verkkosopimusta ei erikseen peruta voi tieto toimitussopimuksesta jäädä väärin ja aiheuttaa ongelmia mm. asiakkaan laskutuksessa. 	Uusi validointisääntö?	Määrittelydokumentaation päivitys ja tarjouspyyntö järjestelmätoimittajalta.	Sopimusprosessi	2.3
26	Tiketti CSUSE0020080	"Agreement identification should be added to the DH-341-3 notification.

We had a case where a metering point had a valid sales agreement and also a sales agreement starting in the future. Another supplier reported a move-in ending the valid agreement and cancelling the future agreement.

Move-in made by the other supplier was cancelled and datahub sent two DH-341-3 notifications (fully identical except for the message id). How should the notifications be connected to the restored agreements when they include only a metering point id and the date of the cancelled moved-in?"	5				"Agreement identification should be added to the DH-341-3 notification.

We had a case where a metering point had a valid sales agreement and also a sales agreement starting in the future. Another supplier reported a move-in ending the valid agreement and cancelling the future agreement.

Move-in made by the other supplier was cancelled and datahub sent two DH-341-3 notifications (fully identical except for the message id). How should the notifications be connected to the restored agreements when they include only a metering point id and the date of the cancelled moved-in?"	1+2	1	2	Myyjä ei pysty kohdistamaan kumpaa sopimusta ilmoitus koskee mikäli on ollut kaksi sopimusta jotka palautetaan voimaan uuden sopimuksen peruutuksessa.		Määrittelydokumentaation päivitys ja tarjouspyyntö järjestelmätoimittajalta.	Sopimusprosessi	2.2
27	"CSUSE0020895
"	"Metering point state change from ""Under costruction"" to the ""Switched"" rules shall be re-evaluated. The current rules say that if metering point ""Under costruction"" has valid contract when it is switch on, datahub will automatically contract valid start from date according to the switching date. This servers handling of new metering points. But same functionality/rules are valid also when metering point has been changed due to renovation to the ""Under costruction"" state, without updates on contract state. In that case if DSO changes the stae directly to switched on, changes the contract valid from date with same rules, even should not in this case."	4				"Metering point state change from ""Under costruction"" to the ""Switched"" rules shall be re-evaluated. The current rules say that if metering point ""Under costruction"" has valid contract when it is switch on, datahub will automatically contract valid start from date according to the switching date. This servers handling of new metering points. But same functionality/rules are valid also when metering point has been changed due to renovation to the ""Under costruction"" state, without updates on contract state. In that case if DSO changes the stae directly to switched on, changes the contract valid from date with same rules, even should not in this case."	2	2	2	Toteutettu malli aiheuttaa tällä hetkellä paljon harmia osapuolille. Kytkentätilan muutos aiheuttaa sopimusten voimaantuloaikojen päivityksen myös silloin, kun kohde on saneerauksessa ja muutettu tilaan rakenteilla. On ohjeistettu että tällöin käyttöpaikka tulee ensin muuttaa tilaan katkaistu, ennen kytkentää. Näin vältytään sopimusten päivitykseltä. 	Myyjälle ja jakeluverkonhaltijalle lähetetään ilmoitus oman sopimuksen muuttuneesta päivämäärästä. Tätä varten lisätään uusi sanomatyyppi. 	"2.11.2022: Edistetään vaihtoehtoa 2
19.12.2022: Alityöryhmän käsittelyyn esitetyn uuden ’saneerauksessa’ -tilatiedon osalta ja vaih-toehtoisena ratkaisuna pidetään vielä sopimuksen aloituspäivämäärän muutoslogiikan päivitys sekä esitetty uusi sanoma muutoksen ilmoitukselle. Käydään myös läpi mittaustiedon validointi eri tilanteissa sekä tarve sille, että mittaustiedot tuotaisiin myös ’rakenteilla’ -tilaisille kohteille, sopimuksen ensimmäisen päivän osalta. Lisäksi kustannusarvioita vaihtoehdoille tarkennettava.
13.4.2023: Alityöryhmän suositus on että toteutetaan vaihtoehto 2.
21.9.2023: Kuvaajan 3 tapauksessa perutaan turhaksi jäävä rakenteilla-jakson aikainen sopimus (myynti/verkko) ja ilmoitetaan myyjälle/verkolle oman sopimuksen peruuntumisesta. Kuvaajaan 7 tapauksessa toimitaan nyt kuvatun mukaisesti, eli käyttöpaikan sopimuksiin ei tule kytkennän yhteydessä muutoksia."	Käyttöpaikkaprosessi	2.3
28	Tiketti CSUSE0020482	DSO shall inform always first contract ending in case meter has been removed and after that the switch off. This would help supplier to recognize that switch off is related to the meter removal, not e.g. switch off made based on the grid receivables.	3				DSO shall inform always first contract ending in case meter has been removed and after that the switch off. This would help supplier to recognize that switch off is related to the meter removal, not e.g. switch off made based on the grid receivables.	0	0	2	"Keskusteltavaksi työryhmään, onko tämä mahdollista jakeluverkonhaltijoiden näkökulmasta. Ohjeistuksen teko tämän mukaisesti. Ei muutostarpeita datahub järjestelmään. Onko tarve muuttaa jotain verkkojen osalta? 

Lisätietoa ehdotuksesta sen tekijältä:
""Jos meille tulee katkaisutiedon välitys DH-422-2 ensimmäiseksi, ja ilmoitus sopimuksen päättymisestä viiveellä sen jälkeen, (tässä tarkoitan monien tuntien viivettä, muutama minuutti ei haittaa), pitää meidän manuaalisesti alkaa selvittämään mistä katkaisuilmoitus johtuu. Tämä meidän pitää selvittää koska katkaisutiedon välitys DH-422-2 ei sisällä syytä. Jos katkaisu johtuu mittarin poistosta esimerkiksi, on asia ok, mutta tärkeintä on meidän kohdalla selvittää, ettei katkaisu johdu maksamattomista laskuista, jonka johdosta verkko katkaisee sopimuksen.
Mikäli tämä prosessi menisi kuten ilmeisesti on tarkoitus, että sopimuksen päättyminen tulisi aina ensin, niin kaikki menisi automaattisesti eikä meidän tarvitsisi manuaalisesti tarkistaa mitään."""		Selvitettävä tarkemmin taustoja tarkemmin ongelmaan ja sitten uudelleen käsittelyyn kehitystyöryhmässä	Sopimusprosessi	
29	CSUSE0020576	New validatio rule for the event DH-124-1 so that supplier cannot requested as user group BE14 in case there has been defined specific user group for the metering point. At the moment DSO systems updates user group automatically and thus the specific user group information is updated and lost.	3				New validatio rule for the event DH-124-1 so that supplier cannot requested as user group BE14 in case there has been defined specific user group for the metering point. At the moment DSO systems updates user group automatically and thus the specific user group information is updated and lost.	1	1	2	Tiedon laadun ylläpito paranee. Tällä hetkellä käyttäjäryhmä menee automatiikalla käyttöpaikalle verkon järjestelmissä ja jo tarkemmaksi määritelty tieto häviää ja rapautuu tämän myötä.	Myyjä ei pysty päivittämään käyttäjäryhmää mikäli se on jo jakeluverkkoyhtiön toimesta määritelty.	"Selvitetään tilannetta tiketin nostajan kanssa tarkemmin. Jatkotoimet näiden pohjalta.
26.3.2024: Selvitetään BE14-käyttäjäryhmää lähettävät osapuolet ja haetaan asiaan ratkaisua osapuolten kontaktoinnilla ja ohjeistuksella. "	Käyttöpaikkaprosessi	
