id	title	description	status	created_at	updated_at	root_id	development_proposal_and_clarification	ball_park_estimate	impact_on_market	priority	argumentation_for_proposal	proposal_impact	next_steps	categories	planned_release_version
12	Supplier Notification on Accounting Point Changes	Notify Future Supplier of Retrospective Switch On	WIP	2023-04-01	2023-04-20	2	Accounting point has been without supplier and switched off. Supplier notifies new sales contract into datahub. The supplier has found out the status of the accounting point (switched off). Later DSO informs retrospective switch on, the switch on date is previous day of the contract start date -> supplier does not get information about switch on, because the information is disclosed only to the current supplier of the accounting point. 	1+2	1	2	Helpottaisi myyjää kyllä jos saisi tiedon. Voiko muuttaa käsittelyä niin, että jos tuo käyttöpaikan päivitys ilmoitetaan sopimuksen voimaantulon jälkeen (vaikka itse muutospäivä olisi aikaisemmalle päivälle) niin myyjä saisi tiedot. 		Asia viedään alityöryhmän käsittelyyn. GDPR asia tuskin on muutettavissa, mutta tätä tarkastetaan myös, mikäli oikeuspuolen kevennyksellä asia olisi ratkottavissa yksinkertaisemmin.	Sopimusprosessi	
13	Phone Number Format Validation	Implement ITU-T.164 Format Check for Phone Numbers	NEW	2023-03-01	2023-03-15	1	Phone number format shall get a validation rule. Datahub has defined phone number in format ITU-T.164 (+358501234567) but datahub does not validate this.	1	1	2	Tiedon laadun ylläpito paranee	Uusi validointisääntö	Kehitysehdotusta kannatetaan ja se viedään eteenpäin huomioiden prosessit DH-321/322, joissa ei tarkasteta kolmatta kohtaa (Maatunnusta '+358' seuraava numero ei saa olla nolla).	Asiakastietoprosessi	2.4
14	Complex AR04 Cancellation Rules	Clarification requested for AR04 cancellation rule complexities.	RECOMMENDATION	2023-01-10	2023-03-15	1	"As a DSO we see the cancellation code AR04  very complex. AR04 code can be used even supplier has made contract as delivery contract. That cannot happen in real that end customer cancels only selling if there is delivery contract. Datahub should conclude that delivery contract cannot be cancelled with AR04 code or if it can be cancelled, then grid contract shall be cancelled as well. It is not possible that end customer can get from other supplier delivery contract if delivery responsible supplier has already cancelled the contract.

Could this cancellation reason and its rules be re-evaluated in development workgroup. This requires new definitions to the datahub rules."	1+2	1	2	Aiheuttaa paljon manuaalikäsittelyä verkon suunnalla ja jos verkkosopimusta ei erikseen peruta voi tieto toimitussopimuksesta jäädä väärin ja aiheuttaa ongelmia mm. asiakkaan laskutuksessa.	Uusi validointisääntö?	Määrittelydokumentaation päivitys ja tarjouspyyntö järjestelmätoimittajalta.	Sopimusprosessi	2.3
15	DH-341-3 Agreement Identification	Add identifier to DH-341-3 notification for agreement tracking	CLARIFICATION	2023-02-05	2023-04-12	2	"Agreement identification should be added to the DH-341-3 notification.

We had a case where a metering point had a valid sales agreement and also a sales agreement starting in the future. Another supplier reported a move-in ending the valid agreement and cancelling the future agreement.

Move-in made by the other supplier was cancelled and datahub sent two DH-341-3 notifications (fully identical except for the message id). How should the notifications be connected to the restored agreements when they include only a metering point id and the date of the cancelled moved-in?"	1+2	1	2	Myyjä ei pysty kohdistamaan kumpaa sopimusta ilmoitus koskee mikäli on ollut kaksi sopimusta jotka palautetaan voimaan uuden sopimuksen peruutuksessa.	Määrittelydokumentaation päivitys ja tarjouspyyntö järjestelmätoimittajalta.		Sopimusprosessi	2.2
16	"Handling ""Under Construction"" to ""Switched"" State Change"	"Refine handling of agreement start date for metering points in ""Under Construction"" state"	RECOMMENDATION	2023-03-01	2023-05-20	2	"Metering point state change from ""Under costruction"" to the ""Switched"" rules shall be re-evaluated. The current rules say that if metering point ""Under costruction"" has valid contract when it is switch on, datahub will automatically contract valid start from date according to the switching date. This servers handling of new metering points. But same functionality/rules are valid also when metering point has been changed due to renovation to the ""Under costruction"" state, without updates on contract state. In that case if DSO changes the stae directly to switched on, changes the contract valid from date with same rules, even should not in this case."	2	2	2	Toteutettu malli aiheuttaa tällä hetkellä paljon harmia osapuolille. Kytkentätilan muutos aiheuttaa sopimusten voimaantuloaikojen päivityksen myös silloin, kun kohde on saneerauksessa ja muutettu tilaan rakenteilla. On ohjeistettu että tällöin käyttöpaikka tulee ensin muuttaa tilaan katkaistu, ennen kytkentää. Näin vältytään sopimusten päivitykseltä.	Myyjälle ja jakeluverkonhaltijalle lähetetään ilmoitus oman sopimuksen muuttuneesta päivämäärästä. Tätä varten lisätään uusi sanomatyyppi.			2.3
17	Validation Rule for DH-124-1 Event	New validation rule to restrict BE14 user group usage	CLARIFICATION	2023-04-18	2023-06-11	1	New validatio rule for the event DH-124-1 so that supplier cannot requested as user group BE14 in case there has been defined specific user group for the metering point. At the moment DSO systems updates user group automatically and thus the specific user group information is updated and lost.	1	1	2	Tiedon laadun ylläpito paranee. Tällä hetkellä käyttäjäryhmä menee automatiikalla käyttöpaikalle verkon järjestelmissä ja jo tarkemmaksi määritelty tieto häviää ja rapautuu tämän myötä.	Myyjä ei pysty päivittämään käyttäjäryhmää mikäli se on jo jakeluverkkoyhtiön toimesta määritelty.	"Selvitetään tilannetta tiketin nostajan kanssa tarkemmin. Jatkotoimet näiden pohjalta.
26.3.2024: Selvitetään BE14-käyttäjäryhmää lähettävät osapuolet ja haetaan asiaan ratkaisua osapuolten kontaktoinnilla ja ohjeistuksella. "	Käyttöpaikkaprosessi	
18	Personal ID Validation Update	Modify personal identification validation rules to accept new divider signs	READY	2023-05-03	2023-07-22	1	"The most urgent need in changing the personal identification system is related to ensuring that there are enough personal identification numbers in the future. 
From the beginning of 2023, new divider signs/letters will be introduced into the personal identity number for those born in the 20th and 21st centuries:
- For those born in the 21st century, letters starting from B, in addition to the current letter A (A, B, C, D, E, F, H, J, K, L, M).
- For those born in the 20th century, letters starting from Y, in addition to the current sign - (-, Y, X, W, V, U, T, S, R, P, N).

Datahub must accept the new divider signs/letters in the personal identification number.

In addition, there can be 'estate of deceased person' customers that have personal IDs for people born in the 19th century (sign '+' in the personal ID, e.g. DDMMYY+1234), and therefore '+' must also be accepted as a divider sign in the personal identification."	1	0	2	The new dividers can be issued both to newborn children but also the immigrants getting a finnish personal identification, which is why the change needs to be in affect from the beginning of year 2023.	Määrittelydokumentaation päivitys ja tarjouspyyntö järjestelmätoimittajalta.		Asiakastietoprosessi	2.0
19	Grid Ending Event Handling	Grid cannot handle ending event correctly if there's a new move-in, as it reverts agreements incorrectly to valid status. In cases where a new move-in is canceled, the previous grid agreement may restore mistakenly.	CLARIFICATION	2023-04-12	2023-04-13	1	Grid must handle separate ending events correctly without reverting agreements mistakenly due to a new move-in notification.	2	Moderate	2	Causes significant manual workload for operators to correct erroneous reverts.	Subcommittee review.		Sopimusprosessi	2.3
20	DH-311-4 Notification Duplication Issue	DH-311-4 sent to the same supplier multiple times if the accounting point has linked agreements with the same supplier. Request for rule alignment with DH-311-3.	RECOMMENDATION	2023-09-21	2023-11-09	1	Add same rule to DH-311-4 as DH-311-3, avoiding unnecessary notifications to the same supplier.	1	Low	2	Potential to reduce unnecessary communications, depending on recipient system.	Continue discussion in upcoming session; determine if change is needed for all scenarios.		Sopimusprosessi	
21	Automation of Supplier Ending Process	Manual process for supplier termination risks error and is labor-intensive; automation requested for reliability.	WIP	2023-05-05	2023-10-01	2	Proposal for automated system support for tracking and terminating supplier agreements with minimal manual steps.	3	High	2	Reduces errors and workload; simplifies coordination across DSOs.	Complete as part of holistic review of supplier termination process, cost assessment needed.		Sopimusprosessi	2.2
22	Agreement Refusal Error Handling	Difficulty in refusing agreement restoration after an initial end date, causing inconsistencies in agreement end times.	REJECTED	2022-11-11	2023-03-10	1	Allow refusal of agreement restoration to be applied retroactively to the original termination date.	1	Moderate	2	Rejected due to risk of grid consumption issues without a new sales agreement.	Reviewed; not feasible. See reasoning.		Sopimusprosessi	
23	Market Operator Cancellation Improvement	Operator-initiated cancellations require email notifications, causing delays and manual work for operators.	WIP	2023-09-21	2024-03-26	2	Initial proposal suggested automatic emails; reconsidered due to risk of incorrect messaging.	2	Moderate	1	Daily manual work is significant; improved solution would reduce errors and communication delays.	Subcommittee prep ongoing; topic may be revisited in future if deemed necessary.		Sopimusprosessi	
24	Netting Calculation Notification to DSO	Request to send netting calculation data to DSO to streamline metering and billing processes.	CLARIFICATION	2023-04-02	2023-04-15	1	Currently, netting info is only on the GUI; request for direct DSO notification.	2	Moderate	2	Supports more efficient DSO operations by providing data timely for billing.	Continue with feasibility review and impact assessment.		Sopimusprosessi	
